date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2020-08-07,107.8854389098,202.3739248697,126.5428025836,287.610336322,85.634854873,181.9248295261,33.7695991859,67.4599525641,158.373,236.2740840813,116.3327753333,121.6460074248,130.0660252296,62.2978386676,266.3701143347,142.9289011258,190.81,21.7517934465
2020-08-10,109.4535341632,198.3451141478,126.0574095993,289.4882450252,86.7205855747,182.8944197733,34.6014010075,69.7371145573,157.408,238.9617844193,116.8118695035,128.0474797989,133.6885204201,61.4016226273,260.9720610565,142.2894735013,190.15,21.7862790485
2020-08-11,106.1984014468,193.7067434112,125.1547489617,286.2676769593,89.4607630601,184.3619077149,34.9589980523,69.651623834,154.0335,239.1270475469,116.0540296343,128.5073038708,134.4012798904,60.1352303964,254.1550342145,140.5941489441,179.94,21.8207646505
2020-08-12,109.7278294629,199.2404054193,127.4454632212,292.3640762278,88.7024749509,185.296557773,34.9512242035,70.506531067,158.112,244.9199550715,117.9965387244,128.5433685039,134.2251863742,61.6072760665,257.8860416273,139.3195004558,179.1,21.7517934465
2020-08-13,111.6697430894,198.7737110331,126.0318626001,291.6836745237,88.211311062,182.0296500934,34.095081719,69.8070615127,158.051,244.9895395462,118.2752844235,126.830298432,134.0658636691,61.5661453787,259.2851694071,137.8303071723,183.33,21.743172046
2020-08-14,111.570220016,198.9641985377,126.2362385935,293.6613754769,88.2457787034,181.662778108,34.2456993783,70.2189713613,157.401,244.0240549588,117.682949813,126.1901511946,135.1621375574,60.7218838914,259.2256320548,137.2918418043,182.54,21.708686444
2020-08-17,111.278932972,200.2785623193,126.8749135729,290.7674002289,85.9192129139,177.3826049449,33.8017736456,70.5453904866,159.1205,250.7128625961,118.0313819368,125.0721475687,133.8803403957,61.2609123794,259.1462489183,137.6367961807,186.5,21.6138510386
2020-08-18,112.2061967287,201.431011722,127.811636876,287.4107518221,84.7214623778,175.8452366251,33.6353014959,69.1075919585,165.6245,247.8946913679,118.9111730494,124.7565820291,132.7166034988,61.2739010177,260.3171501809,138.6211781816,188.18,21.4931514317
2020-08-19,112.3469854666,200.2118916927,128.0671068678,286.1315966185,84.9196513155,177.3389297085,33.2627209702,68.1296915359,163.024,246.0333066678,118.2665736204,124.4410164895,132.2696610674,61.1202021315,260.5652224823,137.7545854799,182.24,21.6655794416
2020-08-20,114.8399170845,204.8710906982,128.9442205061,284.2536879152,83.9028558964,176.3169291778,32.7553772757,66.8836571265,164.8685,244.1371297303,119.2073403546,123.9541439428,131.696225495,61.0704123515,266.9357191818,138.9997866435,183.5,21.6052296381
