date,drawdown
2019-10-16,-0.0063577938441472664
2019-10-17,-0.001597458672595202
2019-10-18,-0.008372854373995355
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-10-28,0.0
2019-10-29,-0.0017602616443195267
2019-10-30,0.0
2019-10-31,-0.0006857912833829187
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,-0.002039125075009692
2019-11-06,-0.0035441526791347403
2019-11-07,-0.0014943238345500925
2019-11-08,-0.0010895618569190227
2019-11-11,-0.004755002646897125
2019-11-12,-0.00278030884397696
2019-11-13,-0.0021080517323225786
2019-11-14,-0.0013770893778059143
2019-11-15,0.0
2019-11-18,0.0
2019-11-19,-0.003557066572927593
2019-11-20,-0.005834580161746329
2019-11-21,-0.005335837750787744
2019-11-22,-0.0036088114919116334
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-29,-0.003276126887667844
2019-12-02,-0.010845456180538485
2019-12-03,-0.016778153458227196
2019-12-04,-0.010853664850423515
2019-12-05,-0.009676471204441064
2019-12-06,-0.002070216304092627
2019-12-09,-0.0039994213474803
2019-12-10,-0.004585686131072015
2019-12-11,-0.0026686929858391563
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,-0.00020910224779019057
2019-12-19,0.0
2019-12-20,0.0
2019-12-23,0.0
2019-12-24,0.0
2019-12-26,0.0
2019-12-27,-0.00023946869156905658
2019-12-30,-0.00575799976144195
2019-12-31,-0.003629306426702437
2020-01-02,0.0
2020-01-03,-0.005345013948855497
2020-01-06,-0.0015591656950273084
2020-01-07,-0.0051746513569944
2020-01-08,-0.00173328111338398
2020-01-09,0.0
2020-01-10,-0.002212054162120156
2020-01-13,0.0
2020-01-14,-0.0016086301428337104
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-21,-0.002787146254645677
2020-01-22,-0.004277077217188549
2020-01-23,-0.0043639255733188215
2020-01-24,-0.011142454261120156
2020-01-27,-0.02135334083603244
2020-01-28,-0.013764744655438614
2020-01-29,-0.011757508841302312
2020-01-30,-0.009717942370875638
2020-01-31,-0.02549199349667108
2020-02-03,-0.024673152282195143
2020-02-04,-0.013606298097696723
2020-02-05,-0.0006217937620895416
2020-02-06,0.0
2020-02-07,-0.003981726210849107
2020-02-10,0.0
2020-02-11,-0.00046627235127151334
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-18,-0.0008439230417424691
2020-02-19,0.0
2020-02-20,-0.002863038861191357
2020-02-21,-0.0097084260474315
2020-02-24,-0.038785442626579666
2020-02-25,-0.06164624597505083
2020-02-26,-0.06483848751442202
2020-02-27,-0.101936439375897
2020-02-28,-0.10548215535239287
2020-03-02,-0.07126016056245399
2020-03-03,-0.09219110994638659
2020-03-04,-0.05865505231359641
2020-03-05,-0.08086096642534567
2020-03-06,-0.09274489361766995
2020-03-09,-0.15721844601990517
2020-03-10,-0.12770484364452422
2020-03-11,-0.16432037129828284
2020-03-12,-0.23615512817546297
2020-03-13,-0.17611366990211677
2020-03-16,-0.260326333226479
2020-03-17,-0.22865562917720433
2020-03-18,-0.2767666448002632
2020-03-19,-0.2684959462955337
2020-03-20,-0.29448845104517424
2020-03-23,-0.3113723140115839
2020-03-24,-0.24977561441230528
2020-03-25,-0.2415447515568194
2020-03-26,-0.20152014218212821
2020-03-27,-0.22737878982494025
2020-03-30,-0.2022811812807036
2020-03-31,-0.2109560146733207
2020-04-01,-0.23761854862151444
2020-04-02,-0.21549170377570057
2020-04-03,-0.2270090412922398
2020-04-06,-0.18830201213218473
2020-04-07,-0.1880881829671818
2020-04-08,-0.16365335567919845
2020-04-09,-0.15507679496859994
