date,actual_loss,hs_var_95,param_var_95,mc_var_95,breach_hs_95,breach_param_95,breach_mc_95,cum_breach_rate_hs
2022-02-17,0.0134697845794696,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.06060606060606061
2022-02-18,0.0059473568187615,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.058823529411764705
2022-02-22,0.0118013942042081,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05714285714285714
2022-02-23,0.0124865757354878,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05555555555555555
2022-02-24,-0.0069508183758529,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05405405405405406
2022-02-25,-0.0208714080980489,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05263157894736842
2022-02-28,-0.0004913528277874,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05128205128205128
2022-03-01,0.0076372051061099,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.05
2022-03-02,-0.0131697859516284,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.04878048780487805
2022-03-03,3.5042012158731806e-05,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.047619047619047616
2022-03-04,-0.0022579360186697,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.046511627906976744
2022-03-07,0.010011017124553,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.045454545454545456
2022-03-08,0.0009222412611134,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.044444444444444446
2022-03-09,-0.0071414037644794,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.043478260869565216
2022-03-10,-0.00102050658544,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0425531914893617
2022-03-11,0.009282516879653,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.041666666666666664
2022-03-14,0.0065487353944988,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.04081632653061224
2022-03-15,-0.0115344036507877,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.04
2022-03-16,-0.0137318409328909,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0392156862745098
2022-03-17,-0.0109594229029708,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.038461538461538464
2022-03-18,-0.0069405779839881,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03773584905660377
2022-03-21,0.0007967127553069,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.037037037037037035
2022-03-22,-0.0057954506834993,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03636363636363636
2022-03-23,0.0046563851800261,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03571428571428571
2022-03-24,-0.007266229568199,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03508771929824561
2022-03-25,-0.0045236771425546,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.034482758620689655
2022-03-28,-0.0007588156483742,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03389830508474576
2022-03-29,-0.0044170416878295,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03333333333333333
2022-03-30,0.0006980492301629,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03278688524590164
2022-03-31,0.0136559684365533,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03225806451612903
2022-04-01,-0.0034722001558857,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.031746031746031744
2022-04-04,-0.0059077973301865,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03125
2022-04-05,0.0072352694633271,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.03076923076923077
