,port_return,ΔFFR,ΔCPI,Δ10Y,ΔIG_spread,IG_spread,HY_spread,INVERSION
2020-10-31,-0.0174738634284218,0.0,0.1238475828567287,0.19000000000000006,-0.09999999999999987,1.34,5.32,0
2020-11-30,0.0921826377764059,0.0,0.2274132890799363,-0.040000000000000036,-0.21999999999999997,1.12,4.33,0
2020-12-31,0.0399331176745811,0.0,0.4346309661148906,0.09000000000000008,-0.09000000000000008,1.03,3.86,0
2021-01-31,-0.0021025267034986,0.0,0.24499608845809373,0.18000000000000005,0.0,1.03,3.84,0
2021-02-28,0.0300574731353629,-0.009999999999999995,0.33956762230333837,0.32999999999999985,-0.08000000000000007,0.95,3.57,0
2021-03-31,0.0491563395539801,-0.009999999999999995,0.524320981565296,0.30000000000000004,0.020000000000000018,0.97,3.36,0
2021-04-30,0.0363710746411455,0.0,0.6238653990587206,-0.09000000000000008,-0.030000000000000027,0.94,3.28,0
2021-05-31,0.014142881934723,-0.010000000000000009,0.6635060424433847,-0.06999999999999984,-0.029999999999999916,0.91,3.34,0
2021-06-30,0.009882462110199,0.020000000000000004,0.8461787818155431,-0.13000000000000012,-0.050000000000000044,0.86,3.04,0
2021-07-31,0.0150722769195226,0.020000000000000004,0.4614747980816958,-0.20999999999999996,0.06000000000000005,0.92,3.32,0
2021-08-31,0.023058879171951,-0.010000000000000009,0.2842925602144719,0.06000000000000005,0.0,0.92,3.21,0
2021-09-30,-0.0357732610946776,-0.009999999999999995,0.4525517463950024,0.21999999999999997,-0.030000000000000027,0.89,3.15,0
2021-10-31,0.0637728671944141,0.0,0.9638202329232071,0.030000000000000027,0.0,0.89,3.15,0
2021-11-30,-0.0058092377278042,0.0,0.8566262881938069,-0.1200000000000001,0.14,1.03,3.67,0
2021-12-31,0.0409205739145615,0.0,0.6905230550805275,0.09000000000000008,-0.050000000000000044,0.98,3.1,0
2022-01-31,-0.0256322521907619,0.0,0.6046039630400957,0.27,0.1200000000000001,1.1,3.63,0
2022-02-28,-0.0336497578542047,0.0,0.6926379347568234,0.040000000000000036,0.19999999999999996,1.3,3.77,0
2022-03-31,0.0376873378252431,0.12000000000000001,1.115641476274165,0.48999999999999977,-0.08000000000000007,1.22,3.43,0
2022-04-30,-0.0521880900607168,0.13,0.30833512934780316,0.5700000000000003,0.18999999999999995,1.41,3.97,0
2022-05-31,0.013777360486507,0.44,0.9484996239963239,-0.040000000000000036,-0.010000000000000009,1.4,4.22,0
2022-06-30,-0.0711244720898486,0.43999999999999995,1.2561019986405686,0.1299999999999999,0.24,1.64,5.87,0
2022-07-31,0.0772975873969553,0.47,-0.014917428642136077,-0.31000000000000005,-0.10999999999999988,1.53,4.83,1
2022-08-31,-0.0245532737785556,0.6500000000000001,0.062391281496565476,0.48,-0.050000000000000044,1.48,5.03,1
2022-09-30,-0.0781953080416605,0.22999999999999998,0.42426727482827165,0.6800000000000002,0.18999999999999995,1.67,5.43,1
2022-10-31,0.0770474168554496,0.52,0.5594754832984217,0.2699999999999996,-0.010000000000000009,1.66,4.63,1
2022-11-30,0.0635963471312103,0.6999999999999997,0.2614032556282231,-0.4199999999999995,-0.24,1.42,4.55,1
2022-12-31,-0.0305213859368269,0.31999999999999984,0.01539563433359259,0.19999999999999973,-0.040000000000000036,1.38,4.81,1
2023-01-31,0.0351663644499156,0.23000000000000043,0.5314022594635093,-0.3599999999999999,-0.1299999999999999,1.25,4.3,1
2023-02-28,-0.0259431053407129,0.2400000000000002,0.3428533386591992,0.3999999999999999,0.050000000000000044,1.3,4.22,1
2023-03-31,0.0377240393718162,0.08000000000000007,0.12307181953890023,-0.43999999999999995,0.1499999999999999,1.45,4.58,1
2023-04-30,0.0368621777779691,0.17999999999999972,0.3392739405144063,-0.040000000000000036,-0.040000000000000036,1.41,4.53,1
2023-05-31,-0.0150182329773213,0.22999999999999954,0.1614687381333635,0.20000000000000018,0.010000000000000009,1.42,4.69,1
2023-06-30,0.0521011091869763,0.020000000000000462,0.224175331482801,0.16999999999999993,-0.11999999999999988,1.3,4.05,1
2023-07-31,0.0303860476606784,0.040000000000000036,0.1957146710348745,0.16000000000000014,-0.1100000000000001,1.19,3.79,1
2023-08-31,-0.0212359031834991,0.20999999999999996,0.4835707415079771,0.11999999999999966,0.030000000000000027,1.22,3.85,1
2023-09-30,-0.0282291197149146,0.0,0.3900915440960384,0.5,0.030000000000000027,1.25,4.03,1
2023-10-31,-0.0194097025331911,0.0,0.13668493471667986,0.29000000000000004,0.07000000000000006,1.32,4.42,1
2023-11-30,0.0646302546476997,0.0,0.14689823722116024,-0.5099999999999998,-0.20999999999999996,1.11,3.84,1
2023-12-31,0.0421786224979273,0.0,0.1924399963653789,-0.4900000000000002,-0.07000000000000006,1.04,3.39,1
2024-01-31,0.0114628347666424,0.0,0.30996854969052023,0.11000000000000032,-0.020000000000000018,1.02,3.59,1
2024-02-29,0.038598785831602,0.0,0.40975401843086345,0.2599999999999998,-0.020000000000000018,1.0,3.29,1
2024-03-31,0.038366957753239,0.0,0.4431338373525273,-0.04999999999999982,-0.06000000000000005,0.94,3.15,1
2024-04-30,-0.0297435478434967,0.0,0.21706766556210955,0.4900000000000002,-0.029999999999999916,0.91,3.18,1
2024-05-31,0.0444704366950767,0.0,0.04855873210594108,-0.1800000000000006,-0.030000000000000027,0.88,3.2,1
2024-06-30,0.0170061859957804,0.0,-0.041829647960411886,-0.14999999999999947,0.07999999999999996,0.96,3.21,1
2024-07-31,0.0310598404415337,0.0,0.16770805381991494,-0.27000000000000046,0.010000000000000009,0.97,3.25,1
2024-08-31,0.0208642547164075,0.0,0.1572221743858515,-0.17999999999999972,-0.010000000000000009,0.96,3.17,0
2024-09-30,0.0211273007013241,-0.20000000000000018,0.2133336729690294,-0.10000000000000009,-0.039999999999999925,0.92,3.03,0
2024-10-31,-0.009860777106606,-0.2999999999999998,0.2856398459641696,0.4700000000000002,-0.06000000000000005,0.86,2.88,0
2024-11-30,0.0615749773712078,-0.1900000000000004,0.28419261732848256,-0.10000000000000053,-0.030000000000000027,0.83,2.74,0
2024-12-31,-0.0460444948267924,-0.15999999999999925,0.3399383308901438,0.40000000000000036,-0.010000000000000009,0.82,2.92,0
